word	ipa
អណ្ដោត	ʔ ɑ n . ɗ ao t
អណ្ឌ	ʔ ɑ n . ɗ ea ʔ
អណ្ឌកោប	ʔ ɑ n . ɗ ea ʔ . k ao p
អណ្ឌកោស	ʔ a n . ɗ ea ʔ . k ao h
អណ្ឌគោល	ʔ ɑ n . ɗ ea ʔ . k oo l
អណ្ឌជកំណើត	ʔ a n . ɗ ea ʔ . c ea ʔ . k ɑ m . n aə t
អណ្ឌជៈ	ʔ ɑ n . ɗ ea ʔ . c ea ʔ
អណ្ឌប្រណាលី	ʔ ɑ n . ɗ ea ʔ . p r ɑ . n aa . l ii
អណ្ឌពិកល	ʔ ɑ n . ɗ ea ʔ . p i ʔ . k ɑ l
អណ្ឌពិការ	ʔ ɑ n . ɗ ea ʔ . p i ʔ . k aa
អណ្ឌវិកល	ʔ ɑ n . ɗ ea ʔ . w i ʔ . k ɑ l
អណ្ឌវិការ	ʔ ɑ n . ɗ ea ʔ . w i ʔ . k aa
អណ្ឌសេត	ʔ ɑ n . ɗ ea ʔ . s ee . t a ʔ
អណ្ឌសេតជាតិ	ʔ ɑ n . ɗ ea ʔ . s ee . t a ʔ . c ie t
អណ្ឌាការ	ʔ ɑ n . ɗ ie . k aa
អណ្ឌាស័យ	ʔ ɑ n . ɗ ie . s a j
អណ្ឌៈ	ʔ a n . ɗ ea ʔ
អណ្ណព	ʔ a n . n u p
អណ្ណវ	ʔ a n . n a ʔ . w ea ʔ
អណ្ណវប្បទេស	ʔ a n . n a ʔ . w a ɓ . p a ʔ . t e h
អណ្ណវប្រទេស	ʔ a n . n a ʔ . w ea ʔ . p r ɑ . t ee h
អណ្ណវៈ	ʔ ɑ n . n a ʔ . w ea ʔ
អណ្ណាម	ʔ a n . n aa m
អត	ʔ ɑɑ t
អតន	ʔ a ʔ . t a ʔ . n a ʔ
អតប្បា	ʔ a ʔ . t a p . p aa
អតិ	ʔ a ʔ . t e ʔ
អតិក្រិស	ʔ a ʔ . t e ʔ . k r e h
អតិគម្ពីរភាព	ʔ a ʔ . t e ʔ . k u m . p ii . r ea ʔ . ph ie p
អតិគម្ភីរ	ʔ a ʔ . t e ʔ . k oa m . ph ii
អតិគារវ	ʔ a ʔ . t e ʔ . k ie . r ea ʔ . w ea ʔ
អតិគារវវាចា	ʔ a ʔ . t e ʔ . k ie . r ea ʔ . w ea ʔ . w ie . c aa
អតិច្ចាគ	ʔ a ʔ . t e ʔ . c aa k
អតិថិជន	ʔ a ʔ . t e ʔ . th e ʔ . c u n
អតិថិប្បដិសណ្ឋារ	ʔ a ʔ . t e ʔ . th ə p . p a ʔ . ɗ e ʔ . s ɑ n . th aa . r ea ʔ
អតិថី	ʔ a ʔ . t e ʔ . th ə j
អតិទុក្ករ	ʔ a ʔ . t e ʔ . t u k . k ɑɑ
អតិទុគ្គត	ʔ a ʔ . t e ʔ . t u k . k u t
អតិបរមា	ʔ a ʔ . t e ʔ . p a ʔ . r a ʔ . m aa
អតិប្រមាណកម្ម	ʔ a ʔ . t e ʔ . p r ɑɑ . m aa n . n a ʔ . k a m
អតិផរណា	ʔ a ʔ . t e ʔ . ph ɑɑ . r ea ʔ . n aa
អតិផល	ʔ a ʔ . t e ʔ . ph ɑ l
អតិពលកម្ម	ʔ a ʔ . t e ʔ . p u l . l ea ʔ . k a m
អតិភារភាព	ʔ a ʔ . t e ʔ . ph ie . r ea ʔ . ph ie p
អតិមធូរ	ʔ a ʔ . t e ʔ . m ea ʔ . th uu . r ea ʔ
អតិមហន្តី	ʔ a ʔ . t e ʔ . m ea ʔ . h ɑ n . t ə j
អតិមហ័គ្ឃ	ʔ a ʔ . t e ʔ . m ea ʔ . h ea k
អតិរេក	ʔ a ʔ . t ə ʔ . r ae k
អតិរេកហិរណ្យ	ʔ a ʔ . t e ʔ . r ee k . h e ʔ . r a n
អតិវិសាស	ʔ a ʔ . t e ʔ . w i ʔ . s aa h
អតិសន្តាប	ʔ a ʔ . t e ʔ . s ɑ n . t aa . p a ʔ
អតិសារ	ʔ a ʔ . t e ʔ . s aa
អតិសុខុម	ʔ a ʔ . t e ʔ . s o ʔ . kh o m
អតិសុខុមទស្សន៍	ʔ a ʔ . t e ʔ . s o ʔ . kh o m . m ea ʔ . t uə h
អតិសុខុមាល	ʔ a ʔ . t e ʔ . s o ʔ . kh o ʔ . m aa l
អតិសេដ្ឋភាព	ʔ a ʔ . t e ʔ . s ee t . th a ʔ . ph ie p
អតិសោភនា	ʔ a ʔ . t e ʔ . s ao . ph ea ʔ . n ie
អតិសោភ័ណ	ʔ a ʔ . t e ʔ . s ao . ph oa n
អតីត	ʔ a ʔ . ɗ ɨ t
អតីតកាល	ʔ a ʔ . t ə j . t a ʔ . k aa l
អតីតភាព	ʔ a ʔ . t ə j . t a ʔ . ph ie p
អតុល្យភាព	ʔ a ʔ . t o l . l j a ʔ . ph ie p
អតេកិច្ច	ʔ a ʔ . t ee . k ə c
អតេកិច្ឆ	ʔ a ʔ . t ee . k ə c . ch a ʔ
អតេកិច្ឆភាព	ʔ a ʔ . t ee . k e c . ch a ʔ . ph ie p
អតេកិច្ឆរោគ	ʔ a ʔ . t ee . k ə c . ch a ʔ . r oo k
អតេកិច្ឆា	ʔ a ʔ . t ee . k ə c . ch aa
អតេកិច្ឆៈ	ʔ a ʔ . t ee . k ə c . ch a ʔ
អតេតិច្ឆាបត្តិ	ʔ a ʔ . t ee . t ə c . ch aa . ɓ a t
អត់	ʔ ɑ t
អត់ការ	ʔ ɑ t . k aa
អត់ទ្រាំ	ʔ ɑ t . t r oa m
អត់ធ្មត់	ʔ ɑ t . t m u t
អត់មាត់អត់ក	ʔ ɑ t . m oa t . ʔ ɑ t . k ɑɑ
អត់អី	ʔ ɑ t . ʔ ə j
អត់អោន	ʔ ɑ t . ʔ ao n
អត់ឱន	ʔ ɑ t . ʔ ao n
អត្ត	ʔ a t . t a ʔ
អត្តខាត់	ʔ a t . t a ʔ . kh a t
អត្តឃាដកម្ម	ʔ a t . t a ʔ . kh ie . ɗ a ʔ . k a m
អត្តឃាត	ʔ a t . t a ʔ . kh ie t
អត្តង្គតកាល	ʔ a t . t ɑ ŋ . k u t . t a ʔ . k aa l
អត្តចរិត	ʔ a t . t a ʔ . c a ʔ . r ə t
អត្តទត្ថ	ʔ a t . t a ʔ . t oa t
អត្តទត្ថបុគ្គល	ʔ a t . t a ʔ . t oa t . th a ʔ . ɓ o k . k u l
អត្តទត្ថភាព	ʔ a t . t a ʔ . t oa t . th a ʔ . ph ie p
អត្តទន្តី	ʔ a t . t a ʔ . t oa n . t ə j
អត្តនោបទ	ʔ a t . t a ʔ . n ao . ɓ ɑ t
អត្តនោមត្យាធិប្បាយ	ʔ a t . t a ʔ . n ao . m a t . t j aa . th ɨ p . ɓ aa j
អត្តនោម័តិ	ʔ a t . t a ʔ . n ao . m a t
អត្តពលកម្ម	ʔ a t . t a ʔ . p u l . l ea ʔ . k a m
អត្តពលករ	ʔ a t . t a ʔ . p u l . l ea ʔ . k ɑɑ
អត្តពលិក	ʔ a t . t a ʔ . p u l . l ɨ k
អត្តភាព	ʔ a t . t a ʔ . ph ie p
អត្តលេខ	ʔ a t . t a ʔ . l ee k
អត្តសញ្ញាណ	ʔ a t . t a ʔ . s a ɲ . ɲ aa n
អត្តសញ្ញាណកម្ម	ʔ a t . t a ʔ . s a ɲ . ɲ aa n . n a ʔ . k a m
អត្តសញ្ញាណប័ណ្ណ	ʔ a t . t a ʔ . s a ɲ . ɲ ie . n a ʔ . ɓ a n
អត្តសញ្ញាណប័ត្រ	ʔ a t . t a ʔ . s ɑ ɲ . ɲ ie n . n a ʔ . ɓ a t
អត្តសម្មាបណិធី	ʔ a t . t a ʔ . s ɑ m . m aa . p a ʔ . n e ʔ . th ii
អត្តា	ʔ a t . t aa
អត្តាធិបតេយ្យ	ʔ a t . t aa . th ɨ p . p a ʔ . t a j
អត្តាធីន	ʔ ɑ t . t aa . th ii n
អត្តាធីនភាព	ʔ a t . t aa . th ii . n ea ʔ . ph ie p
អត្តានុវាទភ័យ	ʔ a t . t aa . n u ʔ . w ie . t ea ʔ . ph e j
អត្តាពិគ្រោះ	ʔ a t . t aa . p i ʔ . k r uə h
អត្តាភិបាល	ʔ a t . t aa . ph i ʔ . ɓ aa l
អត្តាវសិក	ʔ a t . t aa . w ea ʔ . s ə k
អត្តិ	ʔ a t . t e ʔ
អត្តិខាត់	ʔ a t . t e ʔ . kh a t
អត្តុក្កង្សន	ʔ a t . t o k . k a ŋ . s a ʔ . n a ʔ
អត្តុក្កង្សនកថា	ʔ a t . t o k . k a ŋ . s a ʔ . n a ʔ . k a ʔ . th aa
អត្តុក្កង្សនភាព	ʔ a t . t o k . k ɑ ŋ . s a ʔ . n ea ʔ . ph ie p
អត្តូប	ʔ a t . t oo p
អត្តៈ	ʔ a t . t a ʔ
អត្ថ	ʔ a t
អត្ថកោវិទ	ʔ a t . th a ʔ . k ao . w ɨ t
អត្ថគវេសនា	ʔ a t . th a ʔ . k ea ʔ . w ee . s a ʔ . n aa
អត្ថគាហក	ʔ a t . th a ʔ . k ie . h a ʔ . k a ʔ
អត្ថគ្រឹះ	ʔ a t . th a ʔ . k r ɨ h
អត្ថង្គតកាល	ʔ a t . th ɑ ŋ . k ɔ . t a ʔ . k aa l
អត្ថចរិយា	ʔ a t . th a ʔ . c a ʔ . r ə ʔ . j aa
អត្ថញ្ញុតា	ʔ a t . th a ɲ . ɲ u ʔ . t aa
អត្ថញ្ញូ	ʔ a t . th a ɲ . ɲ uu
អត្ថទត្ថភាព	ʔ a t . th a ʔ . t oa t . th a ʔ . ph ie p
អត្ថន័យ	ʔ a t . th a ʔ . n e j
អត្ថបដិរូប	ʔ a t . th a ʔ . p a ʔ . ɗ e ʔ . r uu p
អត្ថបទ	ʔ a t . th a ʔ . ɓ ɑ t
អត្ថប្បដិរូប	ʔ a t . th a p . p a ʔ . ɗ e ʔ . r uu p
អត្ថប្បដិសម្ភិទា	ʔ a t . th a p . p a ʔ . ɗ e ʔ . s a m . ph i ʔ . t ie
អត្ថប្រយោជន៍	ʔ a t . th a ʔ . p r ɑ . j ao c
អត្ថរស	ʔ a t . th a ʔ . r uə h
អត្ថវិនាស	ʔ a t . th a ʔ . w i ʔ . n ie h
អត្ថវិប័ទ	ʔ a t . th a ʔ . w i ʔ . ɓ a t
អត្ថសម្ពន្ធិន	ʔ a t . th a ʔ . s ɑ m . p oa n . th ɨ n
អត្ថសម្ពន្ធី	ʔ a t . th a ʔ . s ɑ m . p oa n . th ii
អត្ថាគាហកៈ	ʔ a t . th aa . k ie . h a ʔ . k a ʔ
អត្ថាធិប្បាយ	ʔ a t . th aa . th i ʔ . ɓ a j
អត្ថានុរូប	ʔ a t . th aa . n u ʔ . r uu p
អត្ថាបដិរូប	ʔ a t . th aa . p a ʔ . ɗ e ʔ . r uu p
អត្ថិភាព	ʔ a t . th e ʔ . p ie p
អត្ថិភាវ	ʔ a t . th e ʔ . ph ie . w ea ʔ
អត្ថិសុខៈ	ʔ a t . th e ʔ . s o ʔ . kh a ʔ
អត្ថីតិ	ʔ a t . th ə j . t e ʔ
អត្ថំ	ʔ a t . th a ŋ
អត្មន	ʔ a ʔ . t m a n
អត្មោបជីវិន	ʔ a ʔ . t m ao . p a ʔ . c ii . w ɨ n
អត្រ	ʔ a t . t r a ʔ
អត្រជ	ʔ a ʔ . t r a ʔ . c ea ʔ
អត្រជា	ʔ a t . t r a ʔ . c ie
អត្រា	ʔ a t . t r aa
អត្រាការ	ʔ a ʔ . t r aa . k aa
អត្រាចូល	ʔ a t . t r aa . c oo l
អត្រានុកូលដ្ឋាន	ʔ a t . t r aa . n u ʔ . k oo l . l a t . th aa n
អត្រាពន្ធ	ʔ a ʔ . t r aa . p u n
អត្រាពន្ធដារ	ʔ a t . t r aa . p u n . ɗ aa
អថព៌	ʔ a ʔ . th oa . p ea ʔ
អថព៌វេទ	ʔ a ʔ . th oa . p ea ʔ . w ee t
អថព្វ	ʔ a ʔ . th a p
អថព្វន	ʔ a ʔ . th a p . p u n
អថព្វវេទ	ʔ a ʔ . t a p . p ea ʔ . w ee t
អថវ៌	ʔ a ʔ . th a ʔ . r ea ʔ . w ea ʔ
អថវ៌ណ	ʔ a ʔ . th a ʔ . w ea ʔ . r ea ʔ . n a ʔ
អថិរភាព	ʔ a ʔ . th e ʔ . r a ʔ . ph ie p
អថិរភាវ	ʔ a ʔ . th e ʔ . r ea ʔ . ph ie . w ea ʔ
អថិរវន្ត	ʔ a ʔ . th e ʔ . r a ʔ . w oa n
អថេរ	ʔ a ʔ . th ee
អថេរភាព	ʔ a ʔ . th ee . r a ʔ . ph ie p
អថ៌	ʔ a ʔ . r ea ʔ . th a ʔ
អថ័ន	ʔ a ʔ . th a n
អថ័ព្វន៍	ʔ a ʔ . th a p
អទត្ថពល	ʔ a ʔ . t oa t . th a ʔ . p u l
អទាយាទ	ʔ a ʔ . t ie . j ie t
អទាយាទា	ʔ a ʔ . t ie . j ie . t ie
អទារ	ʔ a ʔ . t ie . r ea ʔ
អទារជន	ʔ a ʔ . t ie . r ea ʔ . c u n
អទារុណ	ʔ a ʔ . t ie . r u n
អទាសតា	ʔ a ʔ . t ie . s a ʔ . t aa
អទាសព្យ	ʔ a ʔ . t ie . s a p
អទាសភាព	ʔ a ʔ . t ie h . s a ʔ . ph ie p
អទាសភាវ	ʔ a ʔ . t ie . s a ʔ . ph ie . w ea ʔ
អទាសវ្យ	ʔ a ʔ . t ie . s a ʔ . w j ea ʔ
អទិដ្ឋ	ʔ a ʔ . t ɨ t . th a ʔ
អទិដ្ឋបុព្វ	ʔ a ʔ . t ɨ t . th a ʔ . ɓ o p . p ea ʔ
អទិដ្ឋមិត្ត	ʔ a ʔ . t ɨ t . th a ʔ . m ɨ t
អទិដ្ឋមិត្រ	ʔ a ʔ . t ɨ t . th a ʔ . m ɨ t
អទិដ្ឋហេតុ	ʔ a ʔ . t ɨ t . th a ʔ . h ae t
អទិតិ	ʔ a ʔ . t i ʔ . t e ʔ
អទិន្ន	ʔ a ʔ . t ɨ n . n ea ʔ
អទិន្នភណ្ឌ	ʔ a ʔ . t ɨ n . n ea ʔ . ph oa n
អទិន្នវត្ថុ	ʔ a ʔ . t ɨ n . n ea ʔ . w oa t . th o ʔ
អទិន្នហារី	ʔ a ʔ . t ɨ n . n ea ʔ . h aa . r ii
អទិន្នា	ʔ a ʔ . t ɨ n . n ie
អទិន្នាទានា	ʔ a ʔ . t ɨ n . n ie . t ie . n ie
អទិន្នាទាយី	ʔ a ʔ . t ɨ n . n ie . t ie . j ii
អទិស្ស	ʔ a ʔ . t ɨ h . s a ʔ
អទិស្សមាន	ʔ a ʔ . t ɨ h . s a ʔ . m aa n
អទុរាគត	ʔ a ʔ . t u ʔ . r ie . k u t
អទុរាគតា	ʔ a ʔ . t u ʔ . r ie . k ea ʔ . t aa
អទូរាគត	ʔ a ʔ . t uu . r ie . k u t
អទ៌្ធរាត្រ	ʔ a t . th ea ʔ . r ie t
អទ៌្ធរាត្រី	ʔ a t . th ea ʔ . r ie . t r ə j
អទ្ធគូ	ʔ a t . th ea ʔ . k uu
អទ្ធា	ʔ a t . th ie
អទ្ធាន	ʔ a t . th ie n
អទ្ធានគមន៍	ʔ a t . th ie . n ea ʔ . k u m
អទ្ធានសម័យ	ʔ a t . th ie n . s a ʔ . m a j
អទ្ភុត	ʔ a t . ph u t
អធន	ʔ a ʔ . th u n
អធម	ʔ a ʔ . th u m
អធមវណិជ្ជា	ʔ a ʔ . th u m . w ea ʔ . n ɨ c . c ie
អធម្ម	ʔ a ʔ . th oa m
អធម្មានុរូប	ʔ a ʔ . th oa m . m ie . n u ʔ . r uu p
អធរមាន	ʔ a ʔ . th ɔɔ . r ea ʔ . m ie n
អធិក	ʔ a ʔ . th ɨ k
អធិកមាស	ʔ a ʔ . th ɨ k . k a ʔ . m ie h
អធិករណៈ	ʔ a ʔ . th i ʔ . k a ʔ . r a ʔ . n a ʔ
អធិករណ៍	ʔ a ʔ . th i ʔ . k ɑɑ
អធិកលាភ	ʔ a ʔ . th ɨ k . l ie p
អធិកសុរទិន	ʔ a ʔ . th ɨ k . s o ʔ . r a ʔ . t ɨ n
អធិកអធម	ʔ a ʔ . th ɨ k . ʔ a ʔ . th u m
អធិការ	ʔ a ʔ . th ɨ ʔ . k aa
អធិការកិច្ច	ʔ a ʔ . th ɨ ʔ . k aa . r ea ʔ . k ə c
អធិការដ្ឋាន	ʔ a ʔ . th i ʔ . k aa . r a ʔ . th a n
អធិការបតី	ʔ a ʔ . th ɨ ʔ . k aa . p a ʔ . ɗ ə j
អធិការរង	ʔ a ʔ . th i ʔ . k aa . r ɔɔ ŋ
អធិក្រម	ʔ a ʔ . th i ʔ . k r ɑ m
អធិក្រមណ៍	ʔ a ʔ . th i ʔ . k r ɑ m
អធិគត	ʔ a ʔ . th i ʔ . k u t
អធិគុណ	ʔ a ʔ . th i ʔ . k u n
អធិចិត្ត	ʔ a ʔ . th i ʔ . c ə t
អធិជ្យោតិស	ʔ a ʔ . th i ʔ . c j oo . t ɨ h
អធិដ្ឋាន	ʔ a ʔ . th ɨ t . th aa n
អធិន	ʔ a ʔ . th ɨ n
អធិបញ្ជា	ʔ a ʔ . th i ʔ . ɓ a ɲ . ch ie
អធិបតី	ʔ a ʔ . th ɨ p . p a ʔ . ɗ ə j
អធិបតីភាព	ʔ a ʔ . th ɨ p . p a ʔ . ɗ ə j . j ea ʔ . ph ie p
អធិបតេយ្យ	ʔ a ʔ . th ɨ p . p a ʔ . t a j
អធិបតេយ្យភាព	ʔ a ʔ . th ɨ p . p a ʔ . t a j . j a ʔ . ph ie p
អធិបត្រ	ʔ a ʔ . th i ʔ . ɓ a t
អធិប្បាយ	ʔ a ʔ . th ə p . ɓ aa j
អធិមត្ត	ʔ a ʔ . th i ʔ . m a t
អធិមាត្រ	ʔ ɑɑ . th i ʔ . m ie t
អធិមុត្ត	ʔ a ʔ . th i ʔ . m u t
អធិមុត្តិ	ʔ a ʔ . th i ʔ . m u t
អធិរាជ	ʔ a ʔ . th i ʔ . r ie c
អធិរាជាណាចក្រ	ʔ a ʔ . th i ʔ . r ie . c ie . n aa . c a k
អធិវាសនក្សាន្តី	ʔ a ʔ . th i ʔ . w ie . s a ʔ . n a ʔ . k s aa n . t ə j
អធិវាសនា	ʔ a ʔ . th i ʔ . w ie h . s n aa
អធិស្ឋាន	ʔ a ʔ . th i h . th aa n
អធិស្ធាន	ʔ a ʔ . th i ʔ . s th aa n
អធីន	ʔ a ʔ . th ii . n a ʔ
អធីនភាព	ʔ a ʔ . th ii . n ea ʔ . ph ie p
អធីអេ	ʔ ɑɑ . th ii . ʔ ee
អធីអេស	ʔ ɑɑ . th ii . ʔ ee h
អធឹក	ʔ a ʔ . th ɨ k
អធុនា	ʔ a ʔ . th u ʔ . n ie
អធុនាគត	ʔ a ʔ . th u ʔ . n ie . k u t
អធុនាគតា	ʔ a . th u ʔ . n ie . k ea ʔ . t aa
អធុនិក	ʔ a ʔ . th u ʔ . n ɨ k
អធុនិកា	ʔ a ʔ . th u ʔ . n i ʔ . k aa
អធោ	ʔ a ʔ . th oo
អធោកាយ	ʔ a ʔ . th oo . k aa j
អធោន័ទ្ធ	ʔ a ʔ . th oo . n oa t . th ea ʔ
អធោបាត	ʔ a ʔ . th oo . ɓ aa t
អធោភពន៍	ʔ a ʔ . th oo . ph u p
អធោភាគ	ʔ a ʔ . th oo . ph ie k
អធោមុខ	ʔ a ʔ . th oo . m u k
អធោមុខា	ʔ a ʔ . th oo . m u ʔ . kh aa
អធោលោក	ʔ a ʔ . th oo . l oo k
អធោសេយ្យា	ʔ a ʔ . th oo . s ee j . j aa
អធ៌	ʔ a t
អធ៌រាត្រិ	ʔ a ʔ . r ea ʔ . th ea ʔ . r ie . t r e ʔ
អធ្យាត្ម	ʔ a ʔ . t j ie t
អធ្យាប័ក	ʔ a ʔ . t j ie . p a k
អធ្យាស្រ័យ	ʔ a ʔ . th j ie . s r a j
អធ្យាហារូបត្ថម	ʔ a ʔ . t j ie . h aa . r uu . p a t . th ɑ m
អធ្យុត្តម	ʔ a t . t j u t . t a ʔ . m ea ʔ
អធ្រាត្រ	ʔ a t . t r ie t
អធ្វគ	ʔ a ʔ . t w ea ʔ . k ea ʔ
អធ្វា	ʔ a ʔ . t w ie
អធ្វាន	ʔ a ʔ . t w ie . n ea ʔ
អធ្វារ	ʔ a ʔ . t w ie
អធ្វ័ន	ʔ a t . t w oa n
អន	ʔ ɑɑ n
អនក្ខរជន	ʔ a ʔ . n a ʔ . kh a ʔ . r a ʔ . c u n
អនក្ខរភាព	ʔ a ʔ . n a k . kh a ʔ . r a ʔ . ph ie l
អនគ្ឃ	ʔ a ʔ . n ea ʔ . kh ea ʔ
អនគ្ឃភណ្ឌ	ʔ a ʔ . n a k . kh ea ʔ . ph oa n
អនគ្ឃវត្ថុ	ʔ a ʔ . n a k . kh ea ʔ . w oa t . th o ʔ
អនគ្ឃា	ʔ a ʔ . n a k . kh ie
អនឃ៌	ʔ a ʔ . n ea ʔ . r ea ʔ . kh ea ʔ
អនង្គណ	ʔ a ʔ . n u ŋ . k ea ʔ . n a ʔ
អនង្គណភាព	ʔ a ʔ . n a ŋ . k ea ʔ . n ea ʔ . ph ie p
អនញ្ញ	ʔ a ʔ . n a ɲ
អនញ្ញា	ʔ a ʔ . n a ɲ . ɲ aa
អនដក័ប	ʔ a ʔ . n ea ʔ . ɗ a ʔ . k oa p
អនណសុខៈ	ʔ a ʔ . n ea ʔ . n a ʔ . s o ʔ . kh a ʔ
អនតូលូជី	ʔ ɑɑ n . t oo . l uu . c ii
អនត្ត	ʔ a ʔ . n a t . t a ʔ
អនត្តលក្ខណ	ʔ a ʔ . n a t . t a ʔ . l ea k . kh a ʔ . n a ʔ
អនត្តលក្ខណៈ	ʔ a ʔ . n a t . t a ʔ . l ea k . kh a ʔ . n a ʔ
អនត្តសញ្ញា	ʔ a ʔ . n a t . t a ʔ . s a ɲ . ɲ aa
អនត្តា	ʔ a ʔ . n a t . t aa
អនត្តានុបស្សនា	ʔ a ʔ . n a t . t aa . n u ʔ . p a h . s a ʔ . n aa
អនត្តានុបស្សិនី	ʔ a ʔ . n a t . t aa . n u ʔ . p a h . s e ʔ . n ii
អនត្តានុភាព	ʔ a ʔ . n a t . t aa . n u ʔ . ph ie p
អនត្ថ	ʔ a ʔ . n a t . th a ʔ
អនត្ថថ	ʔ a ʔ . n a t . th a ʔ . th a ʔ
អនថាម	ʔ ɑɑ n . th aa m
អនថូចេននី	ʔ ɑɑ n . th oo . c ee n . n ii
អនថ៌	ʔ a ʔ . n a t . th a ʔ
អនទ្រេ	ʔ ɑɑ n . t r ee
អនន្ត	ʔ a ʔ . n ɑ n
អនន្តរ	ʔ a ʔ . n ɑ n . t a ʔ . r a ʔ
អនន្តរបុស្ប	ʔ a ʔ . n ɑ n . t a ʔ . r a ʔ . ɓ o h
អនន្តរបុស្ស	ʔ a ʔ . n ɑ n . t a ʔ . r a ʔ . ɓ o h
អនន្តរិយកម្ម	ʔ a ʔ . n ɑ n . t a ʔ . r e j . k a m
អនន្តា	ʔ a ʔ . n ɔ n . t aa
អនភិសិត្តរាជ	ʔ a ʔ . n ea ʔ . ph i ʔ . s ə t . t a ʔ . r ie c
អនរិយ	ʔ a ʔ . n ea ʔ . r i ʔ . j ea ʔ
អនវជ្ចសុខៈ	ʔ a ʔ . n ea ʔ . w a c . c a ʔ . s o ʔ . kh a ʔ
អនវជ្ជ	ʔ a ʔ . n ea ʔ . w ea ʔ . ch ea ʔ
អនវតប្ដៈ	ʔ a ʔ . n ea ʔ . w ea ʔ . t ɑ p . t a ʔ
អនវតប្តៈ	ʔ a ʔ . n ea ʔ . w ea ʔ . t a p . t a ʔ
អនវត័ប្ដ	ʔ a ʔ . n ea ʔ . w ea ʔ . t a p
អនវទ្យ	ʔ a ʔ . n ea ʔ . w ea ʔ . t j ea ʔ
អនវ៉ន	ʔ ɑɑ n . w ɑɑ n
អនស្ចារ្យ	ʔ a ʔ . n oa h . s c aa
អនឡាញ	ʔ ɑɑ n . l aa ɲ
អនអូមេតូភូអា	ʔ ɑɑ n . ʔ oo . m ee . t oo . ph uu . ʔ aa
អនាកុល	ʔ a ʔ . n aa . k o l
អនាកូល	ʔ a ʔ . n aa . k oo l
អនាគត	ʔ a ʔ . n aa . k u t
អនាគតកាល	ʔ a ʔ . n aa . k u t . t a ʔ . k aa l
អនាគតជាតិ	ʔ a ʔ . n aa . k u t . t a ʔ . c ie t
អនាគម	ʔ a ʔ . n aa . k u m
អនាគមា	ʔ a ʔ . n aa . k ea ʔ . m ie
អនាគាមិ	ʔ a ʔ . n aa . k ie . m i ʔ
អនាគាមិនី	ʔ a ʔ . n aa . k ie . m i ʔ . n ii
អនាគាមី	ʔ a ʔ . n ie . k ie . m ii
អនាគារ	ʔ a ʔ . n aa . k ie
អនាចារ	ʔ a ʔ . n aa . c aa
អនាចិន្ត្រៃយ	ʔ a ʔ . n aa . c ə n . t r a j
អនាតុរ	ʔ a ʔ . n aa . t o ʔ . r a ʔ
អនាត្មា	ʔ a ʔ . n aa . t m aa
អនាត្ម័ន	ʔ a ʔ . n aa . t m a n
អនាថ	ʔ a ʔ . n aa t
អនាថា	ʔ a ʔ . n aa . th aa
អនាថោ	ʔ a ʔ . n ie . th ao
អនាទរ	ʔ a ʔ . n aa . t ea ʔ . r ea ʔ
អនាទរា	ʔ a ʔ . n aa . t ea ʔ . r ie
អនាទិភាព	ʔ a ʔ . n aa . t i ʔ . ph ie p
អនាធិបតេយ្យ	ʔ a ʔ . n aa . th ɨ p . p a ʔ . t a j
អនាបត្តិ	ʔ a ʔ . n aa . ɓ a t
អនាមយ	ʔ a ʔ . n aa . m ea ʔ . j ea ʔ
អនាមយគ្រឹះ	ʔ a ʔ . n aa . m ea ʔ . j ea ʔ . k r ɨ h
អនាមយដ្ឋាន	ʔ a ʔ . n aa . m a ʔ . j a t . th aa n
អនាមយស្ថាន	ʔ a ʔ . n aa . m ea ʔ . j ea ʔ . s th aa n
អនាមរូប	ʔ a ʔ . n ie m . m ea ʔ . r uu p
អនាមិក	ʔ a ʔ . n aa . m ə k
អនាម័យ	ʔ a ʔ . n aa . m a j
អនាយ៌	ʔ a ʔ . n aa . j ea ʔ
អនារ្យ	ʔ a ʔ . n aa . r j ea ʔ
អនារ្យធម៌	ʔ a ʔ . n aa . r j ea ʔ . th oa
អនាវាល	ʔ a ʔ . n ie . w ie l
អនាសវា	ʔ a ʔ . n aa . s a ʔ . w aa
អនាសវៈ	ʔ a ʔ . n aa . s a ʔ . w a ʔ
អនិកជន	ʔ a ʔ . n ɨ k . k a ʔ . c u n
អនិច្ច	ʔ a ʔ . n ɨ c . c a ʔ
អនិច្ចកម្ម	ʔ a ʔ . n ɨ c . c a ʔ . k a m
អនិច្ចកាល	ʔ a ʔ . n i c . c a ʔ . k aa l
អនិច្ចតា	ʔ a ʔ . n ɨ c . c a ʔ . t aa
អនិច្ចធម្ម	ʔ a ʔ . n ɨ c . c a ʔ . th oa m
អនិច្ចភាព	ʔ a ʔ . n ɨ c . c a ʔ . ph ie p
អនិច្ចសញ្ញា	ʔ a ʔ . n ɨ c . c a ʔ . s a ɲ . ɲ aa
អនិច្ចា	ʔ a ʔ . n ɨ c . c aa
អនិច្ចានុបស្សិនី	ʔ a ʔ . n ɨ c . c aa . n u ʔ . p a h . s e ʔ . n ə j
អនិច្ចំ	ʔ a ʔ . n ɨ c . c a ŋ
អនិជិតសេនា	ʔ ɑɑ . n i ʔ . c i t . s ee . n ie
អនិដ្ឋ	ʔ a ʔ . n ɨ t
